train_acc,train_loss,val_acc,val_loss
0.028168421052631582,4.4089427,0.038000000000000006,4.4248657
0.049642105263157904,4.1591687,0.06480000000000001,4.034923
0.061978947368421064,4.0201826,0.06960000000000001,4.1181855
0.07669473684210527,3.9382603,0.0696,3.9618661
0.09193684210526316,3.8395822,0.092,3.76685
0.10867368421052633,3.7551725,0.10640000000000001,3.7631445
0.12155789473684211,3.673179,0.12560000000000002,3.6535254
0.13696842105263157,3.5920224,0.1436,3.5163891
0.1541263157894737,3.4963148,0.12960000000000002,3.6144145
0.16842105263157894,3.4242353,0.1728,3.3667803
0.1800842105263158,3.3442307,0.1912,3.2758515
0.19473684210526315,3.2632072,0.19519999999999998,3.311652
0.2082526315789474,3.1954718,0.20119999999999996,3.2485344
0.21816842105263157,3.128933,0.20479999999999998,3.2007515
0.2306526315789474,3.063726,0.22279999999999997,3.0743563
0.24134736842105267,3.0132673,0.2208,3.1816442
0.2484421052631579,2.9652965,0.2452,3.0260382
0.26376842105263154,2.9036937,0.2648,2.8950586
0.2727157894736842,2.8549435,0.25079999999999997,3.0371377
0.2816421052631579,2.8056147,0.272,2.8722677
0.29166315789473685,2.7571042,0.26080000000000003,2.898164
0.3014736842105263,2.7134624,0.2992,2.729918
0.3099789473684211,2.6710649,0.2808,2.859274
0.31829473684210524,2.63356,0.29760000000000003,2.7340238
0.32498947368421055,2.5985572,0.2832,2.8271618
0.33273684210526316,2.5594223,0.3152,2.612915
0.34025263157894736,2.5208018,0.3208,2.6445081
0.34692631578947375,2.4937007,0.3284,2.6127036
0.3538736842105263,2.4581385,0.3232,2.6088896
0.3606526315789474,2.4265811,0.33559999999999995,2.5749733
0.36896842105263156,2.3908927,0.3363999999999999,2.5000634
0.37208421052631574,2.3657541,0.324,2.6071355
0.3799789473684211,2.3412428,0.3432,2.4915895
0.3874526315789473,2.3052132,0.35960000000000003,2.4306045
0.3923157894736842,2.2851427,0.35320000000000007,2.4989796
0.39682105263157896,2.2655776,0.3636,2.4367523
0.40202105263157895,2.238588,0.36200000000000004,2.3904498
0.4064,2.2144618,0.3604,2.4272447
0.414821052631579,2.1856997,0.3724,2.35413
0.4186736842105263,2.1617742,0.3704,2.3281062
0.4221473684210526,2.1439066,0.37599999999999995,2.3838289
0.4292421052631579,2.1205595,0.3864,2.3047302
0.434,2.089489,0.35879999999999995,2.4852831
0.4353052631578947,2.0825446,0.39399999999999996,2.2380862
0.43976842105263153,2.0663738,0.3956,2.304109
0.44538947368421056,2.044198,0.41,2.222215
0.4485263157894737,2.0187528,0.38799999999999996,2.3232713
0.4566105263157895,2.0030015,0.3968,2.2611184
0.4597263157894737,1.9864237,0.4188,2.1815841
0.4628421052631579,1.9663178,0.4168,2.232552
0.46572631578947377,1.9601544,0.3996,2.2764628
0.4708,1.9283483,0.426,2.1376219
0.4705684210526316,1.9182235,0.43000000000000005,2.15709
0.47526315789473683,1.9044218,0.4368,2.0883274
0.4805473684210526,1.8867073,0.43,2.1092327
0.4870526315789474,1.8714399,0.442,2.134953
0.4882105263157895,1.8547914,0.43839999999999996,2.132572
0.49164210526315794,1.8401967,0.4404,2.0845447
0.49488421052631576,1.822731,0.4424,2.0927346
0.49829473684210523,1.8087325,0.44880000000000003,2.0418851
0.5003578947368421,1.8034021,0.45799999999999996,2.0397754
0.5023578947368421,1.7841941,0.42519999999999997,2.1682365
0.5069052631578947,1.776545,0.4428,2.0587647
0.5127157894736841,1.754723,0.4572,2.0349722
0.5134526315789474,1.7421262,0.4692,1.9911991
0.5162315789473685,1.7324715,0.47759999999999997,1.9903369
0.5203157894736842,1.7176871,0.47200000000000003,2.0123749
0.5236421052631579,1.7010573,0.4623999999999999,1.9919372
0.5284631578947369,1.6865196,0.4708,1.9922391
0.5296631578947368,1.6775926,0.4732,1.9956244
0.5281684210526316,1.6756278,0.4672,1.97514
0.5356631578947368,1.6546202,0.4724000000000001,1.9708066
0.5380842105263158,1.6480422,0.4716,1.9780394
0.5384,1.6418924,0.4672,1.9842507
0.5435578947368421,1.6270952,0.4768,1.9947152
0.5442105263157895,1.6169006,0.47440000000000004,1.9575381
0.5461473684210527,1.6093706,0.48479999999999995,1.9373829
0.5499578947368421,1.6051397,0.48120000000000007,1.9512106
0.5507578947368421,1.5882223,0.48839999999999995,1.9314513
0.5541263157894737,1.5796921,0.49079999999999996,1.9182727
0.5586315789473685,1.5709084,0.484,1.9379672
0.5584631578947368,1.5650299,0.49479999999999996,1.9284576
0.5578315789473683,1.5619346,0.4795999999999999,1.9324707
0.5618526315789474,1.5406919,0.4844,1.9471924
0.5619157894736841,1.5481744,0.49879999999999997,1.9175035
0.5625052631578947,1.5450855,0.49439999999999995,1.90663
0.5641473684210527,1.5316383,0.49200000000000005,1.914469
0.5653684210526315,1.5343902,0.49800000000000005,1.9043945
0.5653894736842106,1.5273026,0.4964,1.906774
0.5698526315789473,1.5156813,0.4935999999999999,1.9056087
0.5713263157894737,1.5109025,0.49599999999999994,1.9027693
0.5705894736842104,1.5139229,0.498,1.897226
0.5723368421052631,1.5046399,0.4964,1.9039351
0.5751789473684211,1.5006702,0.4988,1.9075187
0.5740631578947368,1.4962031,0.49760000000000004,1.8973079
0.5762526315789475,1.496262,0.4984,1.9002298
0.5761052631578947,1.4876714,0.4932,1.9029835
0.5773473684210526,1.4881825,0.5008,1.9002886
0.5764842105263158,1.4915667,0.4984,1.8951916
0.5752631578947369,1.4880747,0.4972000000000001,1.9094131
